word,women_count,men_count,women_rate_per_10k_words,men_rate_per_10k_words,difference_women_minus_men
women,2488,120,48.4399154248422,1.4597297067159731,46.98018571812622
woman,914,69,17.795049316039297,0.8393445813616844,16.955704734677614
husband,617,49,12.012631759295676,0.5960562969090223,11.416575462386653
female,516,38,10.046220401615184,0.4622477404600582,9.583972661155126
mother,513,413,9.987812143466257,5.023903073947474,4.963909069518784
girls,246,25,4.7894771682118895,0.3041103555658277,4.4853668126460615
married,620,697,12.071040017444599,8.478596713175277,3.592443304269322
daughter,377,340,7.339971107381635,4.135900835695257,3.204070271686378
children,551,651,10.727650080019314,7.919033658934154,2.8086164210851603
family,746,982,14.524186859699471,11.945454766625714,2.578732093073757
male,116,42,2.2584526484251186,0.5109053973505906,1.747547251074528
marriage,163,140,3.173515359424951,1.7030179911686354,1.4704973682563158
girl,60,16,1.1681651629785097,0.19463062756212973,0.97353453541638
child,246,319,4.7894771682118895,3.880448137019962,0.9090290311919276
men,194,254,3.777067360297181,3.0897612125488094,0.6873061477483717
boys,27,56,0.5256743233403294,0.6812071964674541,-0.15553287312712472
boy,8,74,0.15575535506380128,0.9001666524748501,-0.7444112974110488
father,616,1077,11.993162339912699,13.101074117775857,-1.1079117778631584
son,196,671,3.8160061990631315,8.162321943386816,-4.346315744323684
man,96,546,1.8690642607656154,6.641770165557678,-4.772705904792063
wife,126,598,2.4531468422548706,7.274319705134599,-4.821172862879728
